seed,repetition,opponent,target_avg
0,0,Cu,3.02
0,0,Du,0.995
0,0,Tit For Tat,3.0
0,0,spiteful,3.0
0,0,soft_majo,3.02
0,0,hard_majo,1.03
0,0,per_cd,2.98
0,0,per_ccd,3.42
0,0,per_ddc,2.315
0,0,mistrust,1.03
0,0,WSLS,3.0
0,0,TFTT,3.02
0,0,hard_tft,3.0
0,0,slow_tft,3.02
0,0,GrdTFT,3.0
0,0,prober,2.995
0,0,mem2,3.0
0,0,grok:grok-3-mini,3.0
0,0,Tideman & Chieruzzi,2.98
0,0,Nydegger,3.02
0,0,Grofman,3.0
0,0,Shubik,3.0
0,0,Stein & Rapoport: 0.05,2.98
0,0,GRIM,3.0
0,0,Davis: 10,3.0
0,0,Graaskamp: 0.05,2.825
0,0,Downing,3.02
0,0,"Feld: 1.0, 0.5, 200",1.485
0,0,Joss: 0.9,1.04
0,0,Tullock,2.33
0,0,Anonymous,2.755
0,0,Random: 0.5,2.82
0,1,Cu,3.02
0,1,Du,0.995
0,1,Tit For Tat,3.0
0,1,spiteful,3.0
0,1,soft_majo,3.02
0,1,hard_majo,1.03
0,1,per_cd,2.98
0,1,per_ccd,3.42
0,1,per_ddc,2.315
0,1,mistrust,1.03
0,1,WSLS,3.0
0,1,TFTT,3.02
0,1,hard_tft,3.0
0,1,slow_tft,3.02
0,1,GrdTFT,3.0
0,1,prober,2.995
0,1,mem2,3.0
0,1,grok:grok-3-mini,3.0
0,1,Tideman & Chieruzzi,2.98
0,1,Nydegger,3.02
0,1,Grofman,3.0
0,1,Shubik,3.0
0,1,Stein & Rapoport: 0.05,2.98
0,1,GRIM,3.0
0,1,Davis: 10,3.0
0,1,Graaskamp: 0.05,2.775
0,1,Downing,3.02
0,1,"Feld: 1.0, 0.5, 200",1.415
0,1,Joss: 0.9,1.04
0,1,Tullock,1.24
0,1,Anonymous,2.84
0,1,Random: 0.5,2.97
0,2,Cu,3.02
0,2,Du,0.995
0,2,Tit For Tat,3.0
0,2,spiteful,3.0
0,2,soft_majo,3.02
0,2,hard_majo,1.03
0,2,per_cd,2.98
0,2,per_ccd,3.42
0,2,per_ddc,2.315
0,2,mistrust,1.03
0,2,WSLS,3.0
0,2,TFTT,3.02
0,2,hard_tft,3.0
0,2,slow_tft,3.02
0,2,GrdTFT,3.0
0,2,prober,2.995
0,2,mem2,3.0
0,2,grok:grok-3-mini,3.0
0,2,Tideman & Chieruzzi,2.98
0,2,Nydegger,3.02
0,2,Grofman,3.0
0,2,Shubik,3.0
0,2,Stein & Rapoport: 0.05,2.98
